x-value,Brief fear of Negative Evaluation,CAI Trait Dyadic Score,CAI Trait Full Score,CAI Trait Public Speaking Score,CAI Trait Small group Score,STAI Trait Score,CAI State Score,STAI State Score
pcm_RMSenergy_sma_amean,-0.0857659275984275,0.22207307208182456,-0.36559836506647586,0.03500758878273677,0.32668103765615625,-0.34310149517189503,0.2824973256207752,0.021382715953262393
pcm_fftMag_mfcc_sma[1]_amean,0.08576592759842758,0.237552633526659,-0.15627120794686356,0.24125018764393086,0.565549180519664,-0.18675905089924275,0.2824973256207751,0.021382715953262382
pcm_fftMag_mfcc_sma[2]_amean,0.0857659275984276,-0.2143548665663175,0.40058043794528275,-0.1369640212201464,0.05439595229886279,0.12635785133594302,0.2824973256207752,-0.021382715953262417
pcm_fftMag_mfcc_sma[3]_amean,-0.08576592759842758,0.20874448670883328,-0.3258758122780948,0.13849630015569908,0.5368956074553298,-0.23975650318324254,-0.2824973256207751,0.021382715953262427
pcm_fftMag_mfcc_sma[4]_amean,0.08576592759842758,-0.17796106390647554,0.39606545545438865,-0.17714231158205893,-0.05904263722191164,0.3307732791866616,0.28249732562077506,-0.021382715953262414
pcm_fftMag_mfcc_sma[5]_amean,0.08576592759842756,-0.21844542093959213,0.4646980110953167,-0.1965913975283279,0.4980076498267139,0.350343585891419,0.2824973256207751,0.0213827159532624
pcm_fftMag_mfcc_sma[6]_amean,0.0857659275984276,-0.15740612545601615,-0.35462880449306466,-0.2738153922479198,0.47975206047642455,-0.30075787812694826,0.2824973256207752,0.021382715953262407
pcm_fftMag_mfcc_sma[7]_amean,-0.08576592759842752,0.22519468871317563,0.02206482700820298,0.022277608574807536,0.2563744579338627,0.14140309417250735,0.2824973256207751,0.021382715953262414
pcm_fftMag_mfcc_sma[8]_amean,0.0857659275984276,0.23770646926579694,-0.1104009744076871,0.25582715362888414,0.41066267792313277,0.12171247391803862,0.2824973256207752,0.02138271595326243
pcm_fftMag_mfcc_sma[9]_amean,0.08576592759842758,0.15984872620574336,-0.437236775511423,0.04656902496715075,0.5226479705922157,-0.3368260515555939,-0.2824973256207752,-0.021382715953262417
pcm_fftMag_mfcc_sma[10]_amean,0.08576592759842759,-0.22352521141367948,0.5802979810520023,-0.10959261566879998,0.5834278204480375,0.32500149362344466,0.2824973256207751,0.021382715953262427
